时间,CPU负载,内存使用量(MB),内存使用率(%)
19:37:59,1.63 1.63 1.67,972240,25
19:38:00,1.63 1.63 1.67,972744,25
19:38:02,1.66 1.63 1.68,973248,25
19:38:03,1.66 1.63 1.68,973280,25
19:38:04,1.66 1.63 1.68,973280,25
19:38:05,1.66 1.63 1.68,973532,25
19:38:06,1.69 1.64 1.68,973088,25
19:38:07,1.69 1.64 1.68,972880,25
19:38:08,1.69 1.64 1.68,973952,25
19:38:09,1.69 1.64 1.68,974604,25
19:38:10,1.69 1.64 1.68,974560,25
19:38:11,1.71 1.65 1.68,974856,25
19:38:12,1.71 1.65 1.68,974856,25
19:38:13,1.71 1.65 1.68,974856,25
19:38:14,1.71 1.65 1.68,974100,25
19:38:16,1.71 1.65 1.68,973952,25
19:38:17,1.82 1.67 1.69,974352,25
19:38:18,1.82 1.67 1.69,974856,25
19:38:19,1.82 1.67 1.69,974856,25
19:38:20,1.82 1.67 1.69,974960,25
19:38:21,1.83 1.67 1.69,974960,25
19:38:22,1.83 1.67 1.69,974960,25
19:38:23,1.83 1.67 1.69,975612,25
19:38:24,1.83 1.67 1.69,975360,25
19:38:25,1.83 1.67 1.69,975464,25
19:38:26,1.77 1.66 1.68,975968,25
19:38:27,1.77 1.66 1.68,975612,25
19:38:28,1.77 1.66 1.68,975612,25
19:38:30,1.77 1.66 1.68,975360,25
19:38:31,1.77 1.66 1.68,975968,25
19:38:32,1.78 1.67 1.69,975864,25
19:38:33,1.78 1.67 1.69,975820,25
19:38:34,1.78 1.67 1.69,976116,25
19:38:35,1.78 1.67 1.69,975864,25
19:38:36,1.72 1.66 1.68,976072,25
19:38:37,1.72 1.66 1.68,976976,25
19:38:38,1.72 1.66 1.68,976220,25
19:38:39,1.72 1.66 1.68,977080,25
19:38:40,1.72 1.66 1.68,976576,25
19:38:41,1.66 1.65 1.68,976576,25
19:38:42,1.66 1.65 1.68,976724,25
19:38:43,1.66 1.65 1.68,977124,25
19:38:45,1.66 1.65 1.68,976504,25
19:38:46,1.66 1.65 1.68,976652,25
19:38:47,1.93 1.70 1.70,976164,25
19:38:48,1.93 1.70 1.70,976756,25
19:38:49,1.93 1.70 1.70,976356,25
19:38:50,1.93 1.70 1.70,976504,25
19:38:51,1.86 1.69 1.69,976252,25
19:38:52,1.86 1.69 1.69,977156,25
19:38:53,1.86 1.69 1.69,977260,25
19:38:54,1.86 1.69 1.69,977112,25
19:38:55,1.86 1.69 1.69,976860,25
19:38:56,1.79 1.68 1.69,976356,25
19:38:57,1.79 1.68 1.69,976504,25
19:38:59,1.79 1.68 1.69,976400,25
19:39:00,1.79 1.68 1.69,976400,25
19:39:01,1.79 1.68 1.69,976504,25
19:39:02,1.80 1.68 1.69,976400,25
19:39:03,1.80 1.68 1.69,976252,25
19:39:04,1.80 1.68 1.69,976356,25
19:39:05,1.80 1.68 1.69,976252,25
19:39:06,1.82 1.69 1.69,976652,25
19:39:07,1.82 1.69 1.69,977156,25
19:39:08,1.82 1.69 1.69,976756,25
19:39:09,1.82 1.69 1.69,976652,25
19:39:10,1.82 1.69 1.69,976756,25
19:39:11,1.83 1.70 1.69,976904,25
19:39:12,1.83 1.70 1.69,976400,25
19:39:14,1.83 1.70 1.69,976904,25
19:39:15,1.83 1.70 1.69,976904,25
19:39:16,1.83 1.70 1.69,976608,25
19:39:17,1.85 1.70 1.70,976756,25
19:39:18,1.85 1.70 1.70,976904,25
19:39:19,1.85 1.70 1.70,977112,25
19:39:20,1.85 1.70 1.70,976904,25
19:39:21,1.86 1.71 1.70,976860,25
19:39:22,1.86 1.71 1.70,977156,25
19:39:23,1.86 1.71 1.70,977156,25
19:39:24,1.86 1.71 1.70,977260,25
19:39:25,1.86 1.71 1.70,976860,25
19:39:26,1.87 1.71 1.70,977008,25
19:39:28,1.87 1.71 1.70,977156,25
19:39:29,1.87 1.71 1.70,977008,25
19:39:30,1.87 1.71 1.70,976652,25
19:39:31,1.96 1.73 1.71,976504,25
19:39:32,1.96 1.73 1.71,976652,25
19:39:33,1.96 1.73 1.71,977260,25
19:39:34,1.96 1.73 1.71,976904,25
19:39:35,1.96 1.73 1.71,976756,25
19:39:36,1.97 1.74 1.71,976756,25
19:39:37,1.97 1.74 1.71,977008,25
19:39:38,1.97 1.74 1.71,976148,25
19:39:39,1.97 1.74 1.71,976252,25
19:39:40,1.97 1.74 1.71,977156,25
19:39:41,1.97 1.74 1.71,976756,25
19:39:43,1.97 1.74 1.71,977008,25
19:39:44,1.97 1.74 1.71,977188,25
19:39:45,1.97 1.74 1.71,977440,25
19:39:46,1.97 1.75 1.71,976996,25
19:39:47,1.97 1.75 1.71,977188,25
19:39:48,1.97 1.75 1.71,976640,25
19:39:49,1.97 1.75 1.71,976180,25
19:39:50,1.97 1.75 1.71,977144,25
19:39:51,1.89 1.73 1.71,976432,25
19:39:52,1.89 1.73 1.71,975928,25
19:39:53,1.89 1.73 1.71,976996,25
19:39:54,1.89 1.73 1.71,977040,25
19:39:55,1.89 1.73 1.71,977144,25
19:39:57,1.82 1.72 1.71,976432,25
19:39:58,1.82 1.72 1.71,976936,25
19:39:59,1.82 1.72 1.71,977144,25
19:40:00,1.82 1.72 1.71,976936,25
19:40:01,1.76 1.71 1.70,977440,25
19:40:02,1.76 1.71 1.70,977544,25
19:40:03,1.76 1.71 1.70,977544,25
19:40:04,1.76 1.71 1.70,977040,25
19:40:05,1.76 1.71 1.70,977144,25
19:40:06,1.70 1.70 1.70,976892,25
19:40:07,1.70 1.70 1.70,976788,25
19:40:08,1.70 1.70 1.70,976936,25
19:40:09,1.70 1.70 1.70,977440,25
19:40:11,1.70 1.70 1.70,976892,25
19:40:12,1.64 1.69 1.69,977440,25
19:40:13,1.64 1.69 1.69,977692,25
19:40:14,1.64 1.69 1.69,977100,25
19:40:15,1.64 1.69 1.69,977648,25
19:40:16,1.59 1.67 1.69,977440,25
19:40:17,1.59 1.67 1.69,977292,25
19:40:18,1.59 1.67 1.69,977440,25
19:40:19,1.59 1.67 1.69,977500,25
19:40:20,1.59 1.67 1.69,977692,25
19:40:21,1.54 1.66 1.69,977648,25
19:40:22,1.54 1.66 1.69,978004,25
19:40:23,1.54 1.66 1.69,977396,25
19:40:24,1.54 1.66 1.69,977188,25
19:40:26,1.54 1.66 1.69,977544,25
19:40:27,1.58 1.67 1.69,977188,25
19:40:28,1.58 1.67 1.69,977188,25
19:40:29,1.58 1.67 1.69,977144,25
19:40:30,1.58 1.67 1.69,977440,25
19:40:31,1.61 1.67 1.69,976936,25
19:40:32,1.61 1.67 1.69,977440,25
19:40:33,1.61 1.67 1.69,977040,25
19:40:34,1.61 1.67 1.69,977040,25
19:40:35,1.61 1.67 1.69,976432,25
19:40:36,1.64 1.68 1.69,976936,25
19:40:37,1.64 1.68 1.69,977292,25
19:40:38,1.64 1.68 1.69,977440,25
19:40:40,1.64 1.68 1.69,977944,25
19:40:41,1.64 1.68 1.69,977648,25
19:40:42,1.75 1.70 1.70,976788,25
19:40:43,1.75 1.70 1.70,977188,25
19:40:44,1.75 1.70 1.70,977012,25
19:40:45,1.75 1.70 1.70,976936,25
19:40:46,1.85 1.72 1.71,976684,25
19:40:47,1.85 1.72 1.71,977040,25
19:40:48,1.85 1.72 1.71,977396,25
19:40:49,1.85 1.72 1.71,977204,25
19:40:50,1.85 1.72 1.71,977040,25
19:40:51,1.86 1.73 1.71,977040,25
19:40:52,1.86 1.73 1.71,976432,25
19:40:53,1.86 1.73 1.71,976432,25
19:40:55,1.86 1.73 1.71,976284,25
19:40:56,1.86 1.73 1.71,976432,25
19:40:57,1.88 1.73 1.71,977188,25
19:40:58,1.88 1.73 1.71,977796,25
19:40:59,1.88 1.73 1.71,977656,25
19:41:00,1.88 1.73 1.71,976544,25
19:41:01,1.89 1.74 1.71,976692,25
19:41:02,1.89 1.74 1.71,977360,25
19:41:03,1.89 1.74 1.71,976796,25
19:41:04,1.89 1.74 1.71,978160,25
19:41:05,1.89 1.74 1.71,978056,25
19:41:06,1.81 1.73 1.71,977568,25
19:41:07,1.81 1.73 1.71,977448,25
19:41:09,1.81 1.73 1.71,976944,25
19:41:10,1.81 1.73 1.71,977552,25
19:41:11,1.81 1.73 1.71,977700,25
19:41:12,1.75 1.71 1.70,976692,25
19:41:13,1.75 1.71 1.70,977552,25
19:41:14,1.75 1.71 1.70,977656,25
19:41:15,1.75 1.71 1.70,977552,25
19:41:16,1.69 1.70 1.70,977404,25
19:41:17,1.69 1.70 1.70,977952,25
19:41:18,1.69 1.70 1.70,977196,25
19:41:19,1.69 1.70 1.70,976944,25
19:41:20,1.69 1.70 1.70,977196,25
19:41:21,1.63 1.69 1.70,977048,25
19:41:22,1.63 1.69 1.70,977048,25
19:41:24,1.63 1.69 1.70,977448,25
19:41:25,1.63 1.69 1.70,976944,25
19:41:26,1.63 1.69 1.70,977196,25
19:41:27,1.66 1.70 1.70,977360,25
19:41:28,1.66 1.70 1.70,977152,25
19:41:29,1.66 1.70 1.70,977700,25
19:41:30,1.66 1.70 1.70,977300,25
19:41:31,1.69 1.70 1.70,977360,25
19:41:32,1.69 1.70 1.70,977300,25
19:41:33,1.69 1.70 1.70,977700,25
19:41:34,1.69 1.70 1.70,977552,25
19:41:35,1.69 1.70 1.70,977464,25
19:41:36,1.64 1.69 1.70,977448,25
19:41:38,1.64 1.69 1.70,977404,25
19:41:39,1.64 1.69 1.70,977048,25
19:41:40,1.64 1.69 1.70,976944,25
19:41:41,1.64 1.69 1.70,976900,25
19:41:42,1.82 1.73 1.71,977804,25
19:41:43,1.82 1.73 1.71,977700,25
19:41:44,1.82 1.73 1.71,977968,25
19:41:45,1.82 1.73 1.71,977700,25
19:41:46,1.84 1.73 1.71,977404,25
19:41:47,1.84 1.73 1.71,978308,25
19:41:48,1.84 1.73 1.71,977952,25
19:41:49,1.84 1.73 1.71,977300,25
19:41:50,1.84 1.73 1.71,978012,25
19:41:51,1.85 1.74 1.71,977700,25
19:41:53,1.85 1.74 1.71,977804,25
19:41:54,1.85 1.74 1.71,977952,25
19:41:55,1.85 1.74 1.71,977700,25
19:41:56,1.85 1.74 1.71,977804,25
19:41:57,1.94 1.76 1.72,977552,25
19:41:58,1.94 1.76 1.72,977908,25
19:41:59,1.94 1.76 1.72,977952,25
19:42:00,1.94 1.76 1.72,977952,25
19:42:01,1.95 1.76 1.72,978012,25
19:42:02,1.95 1.76 1.72,977804,25
19:42:03,1.95 1.76 1.72,977448,25
19:42:04,1.95 1.76 1.72,977508,25
19:42:05,1.95 1.76 1.72,977700,25
19:42:07,1.95 1.77 1.72,977048,25
19:42:08,1.95 1.77 1.72,977152,25
19:42:09,1.95 1.77 1.72,977448,25
19:42:10,1.95 1.77 1.72,977700,25
19:42:11,1.95 1.77 1.72,978056,25
19:42:12,2.12 1.80 1.74,977952,25
19:42:13,2.12 1.80 1.74,978056,25
19:42:14,2.12 1.80 1.74,977716,25
19:42:15,2.12 1.80 1.74,978012,25
19:42:16,2.11 1.81 1.74,977552,25
19:42:17,2.11 1.81 1.74,977700,25
19:42:18,2.11 1.81 1.74,977360,25
19:42:19,2.11 1.81 1.74,977700,25
19:42:20,2.11 1.81 1.74,977952,25
19:42:22,2.10 1.81 1.74,977952,25
19:42:23,2.10 1.81 1.74,977552,25
19:42:24,2.10 1.81 1.74,977552,25
19:42:25,2.10 1.81 1.74,977404,25
19:42:26,2.01 1.80 1.74,977952,25
19:42:27,2.01 1.80 1.74,977300,25
19:42:28,2.01 1.80 1.74,977196,25
19:42:29,2.01 1.80 1.74,976944,25
19:42:30,2.01 1.80 1.74,977300,25
19:42:31,1.93 1.78 1.73,977152,25
19:42:32,1.93 1.78 1.73,977448,25
19:42:33,1.93 1.78 1.73,976944,25
19:42:34,1.93 1.78 1.73,976796,25
19:42:36,1.93 1.78 1.73,977048,25
19:42:37,1.85 1.77 1.73,977300,25
19:42:38,1.85 1.77 1.73,977448,25
19:42:39,1.85 1.77 1.73,976944,25
19:42:40,1.85 1.77 1.73,977448,25
19:42:41,1.79 1.76 1.72,977212,25
19:42:42,1.79 1.76 1.72,977700,25
19:42:43,1.79 1.76 1.72,977448,25
19:42:44,1.79 1.76 1.72,977952,25
19:42:45,1.79 1.76 1.72,976796,25
19:42:46,1.72 1.74 1.72,977048,25
19:42:47,1.72 1.74 1.72,977196,25
19:42:48,1.72 1.74 1.72,977048,25
19:42:49,1.72 1.74 1.72,977952,25
19:42:51,1.72 1.74 1.72,977448,25
19:42:52,1.66 1.73 1.72,977804,25
19:42:53,1.66 1.73 1.72,977804,25
19:42:54,1.66 1.73 1.72,977700,25
19:42:55,1.66 1.73 1.72,977300,25
19:42:56,1.61 1.72 1.71,977300,25
19:42:57,1.61 1.72 1.71,977804,25
19:42:58,1.61 1.72 1.71,977700,25
19:42:59,1.61 1.72 1.71,977804,25
19:43:00,1.61 1.72 1.71,977908,25
19:43:01,1.56 1.71 1.71,977508,25
19:43:02,1.56 1.71 1.71,977700,25
19:43:03,1.56 1.71 1.71,977700,25
19:43:04,1.56 1.71 1.71,977552,25
19:43:06,1.56 1.71 1.71,976944,25
19:43:07,1.60 1.71 1.71,977448,25
19:43:08,1.60 1.71 1.71,977700,25
19:43:09,1.60 1.71 1.71,977804,25
19:43:10,1.60 1.71 1.71,977804,25
19:43:11,1.63 1.72 1.71,977700,25
19:43:12,1.63 1.72 1.71,978264,25
19:43:13,1.63 1.72 1.71,977656,25
19:43:14,1.63 1.72 1.71,977700,25
19:43:15,1.63 1.72 1.71,977448,25
19:43:16,1.74 1.74 1.72,977152,25
19:43:17,1.74 1.74 1.72,977448,25
19:43:18,1.74 1.74 1.72,977952,25
19:43:20,1.74 1.74 1.72,978056,25
19:43:21,1.74 1.74 1.72,977196,25
19:43:22,1.84 1.76 1.73,977196,25
19:43:23,1.84 1.76 1.73,977196,25
19:43:24,1.84 1.76 1.73,977448,25
19:43:25,1.84 1.76 1.73,977300,25
19:43:26,1.85 1.76 1.73,976900,25
19:43:27,1.85 1.76 1.73,977152,25
19:43:28,1.85 1.76 1.73,977300,25
19:43:29,1.85 1.76 1.73,977300,25
19:43:30,1.85 1.76 1.73,977196,25
19:43:31,1.87 1.77 1.73,977448,25
19:43:32,1.87 1.77 1.73,977152,25
19:43:34,1.87 1.77 1.73,976796,25
19:43:35,1.87 1.77 1.73,977196,25
19:43:36,1.87 1.77 1.73,977440,25
19:43:37,1.88 1.77 1.73,977440,25
19:43:38,1.88 1.77 1.73,976936,25
19:43:39,1.88 1.77 1.73,977188,25
19:43:40,1.88 1.77 1.73,976432,25
19:43:41,1.89 1.78 1.73,977440,25
19:43:42,1.89 1.78 1.73,977544,25
19:43:43,1.89 1.78 1.73,977440,25
19:43:44,1.89 1.78 1.73,978048,25
19:43:45,1.89 1.78 1.73,977188,25
19:43:46,1.90 1.78 1.73,977544,25
19:43:47,1.90 1.78 1.73,977292,25
19:43:49,1.90 1.78 1.73,976684,25
19:43:50,1.90 1.78 1.73,976788,25
19:43:51,1.90 1.78 1.73,977544,25
19:43:52,1.82 1.77 1.73,977692,25
19:43:53,1.82 1.77 1.73,977692,25
19:43:54,1.82 1.77 1.73,977500,25
19:43:55,1.82 1.77 1.73,977544,25
19:43:56,1.76 1.75 1.72,977544,25
19:43:57,1.76 1.75 1.72,977944,25
19:43:58,1.76 1.75 1.72,977440,25
19:43:59,1.76 1.75 1.72,977544,25
19:44:00,1.76 1.75 1.72,977188,25
19:44:01,1.70 1.74 1.72,977692,25
19:44:03,1.70 1.74 1.72,976936,25
19:44:04,1.70 1.74 1.72,977292,25
19:44:05,1.70 1.74 1.72,977292,25
19:44:06,1.70 1.74 1.72,977396,25
19:44:07,1.64 1.73 1.72,977188,25
19:44:08,1.64 1.73 1.72,977796,25
19:44:09,1.64 1.73 1.72,977544,25
19:44:10,1.64 1.73 1.72,977500,25
19:44:11,1.59 1.72 1.71,978196,25
19:44:12,1.59 1.72 1.71,977796,25
19:44:13,1.59 1.72 1.71,977692,25
19:44:14,1.59 1.72 1.71,977796,25
19:44:15,1.59 1.72 1.71,977692,25
19:44:16,1.62 1.72 1.72,977796,25
19:44:18,1.62 1.72 1.72,978196,25
19:44:19,1.62 1.72 1.72,977796,25
19:44:20,1.62 1.72 1.72,978048,25
19:44:21,1.62 1.72 1.72,978048,25
19:44:22,1.57 1.71 1.71,978196,25
19:44:23,1.57 1.71 1.71,977796,25
19:44:24,1.57 1.71 1.71,977944,25
19:44:25,1.57 1.71 1.71,978048,25
19:44:26,1.61 1.71 1.71,978300,25
19:44:27,1.61 1.71 1.71,978404,25
19:44:28,1.61 1.71 1.71,978048,25
19:44:29,1.61 1.71 1.71,978048,25
19:44:30,1.61 1.71 1.71,977944,25
19:44:32,1.64 1.72 1.72,977944,25
19:44:33,1.64 1.72 1.72,977692,25
19:44:34,1.64 1.72 1.72,977352,25
19:44:35,1.64 1.72 1.72,978048,25
19:44:36,1.64 1.72 1.72,977292,25
19:44:37,1.67 1.72 1.72,977160,25
19:44:38,1.67 1.72 1.72,977768,25
19:44:39,1.67 1.72 1.72,977292,25
19:44:40,1.67 1.72 1.72,977440,25
19:44:41,1.69 1.73 1.72,977544,25
19:44:42,1.69 1.73 1.72,977692,25
19:44:43,1.69 1.73 1.72,977796,25
19:44:44,1.69 1.73 1.72,977944,25
19:44:45,1.69 1.73 1.72,978448,25
19:44:47,1.80 1.75 1.73,977944,25
19:44:48,1.80 1.75 1.73,977796,25
19:44:49,1.80 1.75 1.73,977188,25
19:44:50,1.80 1.75 1.73,977248,25
19:44:51,1.80 1.75 1.73,977440,25
19:44:52,1.82 1.75 1.73,978048,25
19:44:53,1.82 1.75 1.73,977944,25
19:44:54,1.82 1.75 1.73,978152,25
19:44:55,1.82 1.75 1.73,977944,25
19:44:56,1.83 1.76 1.73,978152,25
19:44:57,1.83 1.76 1.73,977900,25
19:44:58,1.83 1.76 1.73,977516,25
19:44:59,1.83 1.76 1.73,977188,25
19:45:01,1.83 1.76 1.73,977440,25
19:45:02,1.84 1.76 1.73,978048,25
19:45:03,1.84 1.76 1.73,977796,25
19:45:04,1.84 1.76 1.73,977692,25
19:45:05,1.84 1.76 1.73,977648,25
19:45:06,1.84 1.76 1.73,977692,25
19:45:07,2.10 1.82 1.75,977440,25
19:45:08,2.10 1.82 1.75,977188,25
19:45:09,2.10 1.82 1.75,978048,25
19:45:10,2.10 1.82 1.75,978168,25
19:45:11,2.09 1.82 1.75,977944,25
19:45:12,2.09 1.82 1.75,977544,25
19:45:13,2.09 1.82 1.75,977944,25
19:45:14,2.09 1.82 1.75,977440,25
19:45:16,2.09 1.82 1.75,977692,25
19:45:17,2.00 1.81 1.75,978196,25
19:45:18,2.00 1.81 1.75,977692,25
19:45:19,2.00 1.81 1.75,977796,25
19:45:20,2.00 1.81 1.75,978152,25
19:45:21,2.00 1.81 1.75,977944,25
19:45:22,2.00 1.81 1.75,977692,25
19:45:23,2.00 1.81 1.75,977692,25
19:45:24,2.00 1.81 1.75,977944,25
19:45:25,2.00 1.81 1.75,977188,25
19:45:26,1.92 1.80 1.74,977292,25
19:45:27,1.92 1.80 1.74,977944,25
19:45:28,1.92 1.80 1.74,977544,25
19:45:30,1.92 1.80 1.74,977292,25
19:45:31,1.92 1.80 1.74,977692,25
19:45:32,1.85 1.78 1.74,977648,25
19:45:33,1.85 1.78 1.74,977944,25
19:45:34,1.85 1.78 1.74,977692,25
19:45:35,1.85 1.78 1.74,977796,25
19:45:36,1.85 1.78 1.74,977544,25
19:45:37,1.86 1.79 1.74,977440,25
19:45:38,1.86 1.79 1.74,977440,25
19:45:39,1.86 1.79 1.74,977692,25
19:45:40,1.86 1.79 1.74,977544,25
19:45:41,1.79 1.77 1.74,977796,25
19:45:42,1.79 1.77 1.74,977544,25
19:45:43,1.79 1.77 1.74,978048,25
19:45:45,1.79 1.77 1.74,977292,25
19:45:46,1.79 1.77 1.74,977396,25
19:45:47,1.89 1.79 1.74,977188,25
19:45:48,1.89 1.79 1.74,976684,25
19:45:49,1.89 1.79 1.74,976180,25
19:45:50,1.89 1.79 1.74,976684,25
19:45:51,1.90 1.80 1.74,977188,25
19:45:52,1.90 1.80 1.74,977440,25
19:45:53,1.90 1.80 1.74,977324,25
19:45:54,1.90 1.80 1.74,977724,25
19:45:55,1.90 1.80 1.74,978080,25
19:45:56,1.91 1.80 1.75,977576,25
19:45:57,1.91 1.80 1.75,977680,25
19:45:59,1.91 1.80 1.75,977724,25
19:46:00,1.91 1.80 1.75,977472,25
19:46:01,1.91 1.80 1.75,977472,25
19:46:02,1.99 1.82 1.75,977220,25
19:46:03,1.99 1.82 1.75,976968,25
19:46:04,1.99 1.82 1.75,977072,25
19:46:05,1.99 1.82 1.75,977724,25
19:46:06,1.99 1.82 1.75,978228,25
19:46:07,1.99 1.82 1.75,977576,25
19:46:08,1.99 1.82 1.75,977828,25
19:46:09,1.99 1.82 1.75,978036,25
19:46:10,1.99 1.82 1.75,977488,25
19:46:11,2.07 1.84 1.76,977220,25
19:46:12,2.07 1.84 1.76,977472,25
19:46:14,2.07 1.84 1.76,977072,25
19:46:15,2.07 1.84 1.76,977428,25
19:46:16,2.07 1.84 1.76,977976,25
19:46:17,2.07 1.85 1.76,977976,25
19:46:18,2.07 1.85 1.76,977028,25
19:46:19,2.07 1.85 1.76,977472,25
19:46:20,2.07 1.85 1.76,977976,25
19:46:21,2.06 1.85 1.76,977828,25
19:46:22,2.06 1.85 1.76,978228,25
19:46:23,2.06 1.85 1.76,977724,25
19:46:24,2.06 1.85 1.76,977724,25
19:46:25,2.06 1.85 1.76,977932,25
19:46:26,1.98 1.84 1.76,977828,25
19:46:28,1.98 1.84 1.76,978080,25
19:46:29,1.98 1.84 1.76,977472,25
19:46:30,1.98 1.84 1.76,977324,25
19:46:31,1.98 1.84 1.76,977472,25
19:46:32,1.98 1.84 1.76,977932,25
19:46:33,1.98 1.84 1.76,977828,25
19:46:34,1.98 1.84 1.76,977976,25
19:46:35,1.98 1.84 1.76,977932,25
19:46:36,1.90 1.82 1.76,977324,25
19:46:37,1.90 1.82 1.76,978228,25
19:46:38,1.90 1.82 1.76,977976,25
19:46:39,1.90 1.82 1.76,978480,25
19:46:40,1.90 1.82 1.76,977932,25
19:46:41,1.83 1.81 1.75,977724,25
19:46:43,1.83 1.81 1.75,977976,25
19:46:44,1.83 1.81 1.75,977976,25
19:46:45,1.83 1.81 1.75,977976,25
19:46:46,1.83 1.81 1.75,978436,25
19:46:47,1.76 1.80 1.75,978480,25
19:46:48,1.76 1.80 1.75,977932,25
19:46:49,1.76 1.80 1.75,977976,25
19:46:50,1.76 1.80 1.75,978096,25
19:46:51,1.70 1.78 1.74,978584,25
19:46:52,1.70 1.78 1.74,978688,25
19:46:53,1.70 1.78 1.74,978984,25
19:46:54,1.70 1.78 1.74,977828,25
19:46:55,1.70 1.78 1.74,978228,25
19:46:56,1.64 1.77 1.74,977976,25
